delay_days,method,mean,std,count
0,baseline,0.5467746946720997,0.018604383096119597,52
0,ctgan,0.5585085508854458,0.026131549495875765,88
0,ctgan_recency03,0.563787941343611,0.024663869593312782,42
0,smote,0.5589399153863169,0.024530463687176145,54
0,smote_recency03,0.545171102711471,0.026918333019268107,42
0,tabddpm,0.5556423612948622,0.02522146068123488,80
0,tabddpm_recency03,0.5587588554298845,0.022914888715788333,42
7,baseline,0.5336171687078023,0.024592497148832715,8
7,ctgan,0.5436069899492213,0.023103337366556693,8
7,ctgan_recency03,0.5433229534204496,0.028249852973924836,4
7,smote,0.5431484347625786,0.02656093628890638,8
7,smote_recency03,0.5161519759195292,0.032919275746672964,4
7,tabddpm,0.5393715470909868,0.026947989464103005,8
7,tabddpm_recency03,0.5359731831123863,0.027772635304257175,4
14,baseline,0.4884290904100974,0.004747596040783204,2
14,ctgan,0.5195354045315814,0.012266139043338578,2
14,ctgan_recency03,0.5198865478638628,0.005467651598127159,2
14,smote,0.5223631911214364,0.008220881950360307,2
14,smote_recency03,0.48762009810372986,0.03313429720990728,2
14,tabddpm,0.5148199723352926,0.016365534693335026,2
14,tabddpm_recency03,0.5133541405419593,0.011832032174740542,2
