fold,method,target_pos_rate,pr_auc,recall_1fpr
0,baseline,,0.5614727393508298,0.4668216398985629
0,smote,0.05,0.5531311584488352,0.4647083685545224
0,ctgan,0.1,0.5604088740259883,0.4714708368554522
0,tabddpm,0.1,0.5544291462748854,0.4687235841081995
1,baseline,,0.5778163924869011,0.4785553047404063
1,smote,0.05,0.5755926017848177,0.4808126410835214
1,ctgan,0.05,0.5848569123386618,0.4923250564334085
1,tabddpm,0.1,0.5618305152117138,0.4641083521444695
2,baseline,,0.6007340496930021,0.5046627629581436
2,smote,0.1,0.5962484854029583,0.4979397093905877
2,ctgan,0.1,0.6000220530713538,0.5001084363478638
2,tabddpm,0.05,0.6051643635889506,0.5083495987855129
3,baseline,,0.5336896271880447,0.4453740157480315
3,smote,0.05,0.5414702431458217,0.4601377952755905
3,ctgan,0.05,0.5415310008204806,0.4571850393700787
3,tabddpm,0.05,0.5373635210210976,0.4458661417322834
