fold,method,target_pos_rate,pr_auc,recall_1fpr,baseline_pr_auc,domain_auc_holdout_no_time,pr_auc_delta,domain_auc
0,ctgan,0.1,0.5551736213728059,0.4611158072696534,0.5434769390312724,0.8240134308390022,-0.011696682341533537,0.8240134308390022
0,tabddpm,0.1,0.5544291462748854,0.4687235841081995,0.5434769390312724,0.8240134308390022,-0.01095220724361301,0.8240134308390022
0,smote,0.05,0.5531311584488352,0.4647083685545224,0.5434769390312724,0.8240134308390022,-0.009654219417562837,0.8240134308390022
0,ctgan_recency03,0.1,0.5556667059240805,0.4727387996618766,0.5434769390312724,0.8240134308390022,-0.012189766892808152,0.8240134308390022
0,tabddpm_recency03,0.2,0.5570719080102438,0.463229078613694,0.5434769390312724,0.8240134308390022,-0.013594968978971389,0.8240134308390022
0,smote_recency03,0.2,0.5178556742696802,0.4401944209636517,0.5434769390312724,0.8240134308390022,0.02562126476159221,0.8240134308390022
1,ctgan,0.05,0.5848569123386618,0.4923250564334085,0.5778163924869011,0.8853219614512471,-0.007040519851760685,0.8853219614512471
1,tabddpm,0.1,0.5618305152117138,0.4641083521444695,0.5778163924869011,0.8853219614512471,0.0159858772751873,0.8853219614512471
1,smote,0.05,0.5755926017848177,0.4808126410835214,0.5778163924869011,0.8853219614512471,0.002223790702083339,0.8853219614512471
1,ctgan_recency03,0.2,0.5815527268883847,0.4864559819413092,0.5778163924869011,0.8853219614512471,-0.0037363344014835764,0.8853219614512471
1,tabddpm_recency03,0.05,0.5641108793776951,0.4670428893905192,0.5778163924869011,0.8853219614512471,0.01370551310920598,0.8853219614512471
1,smote_recency03,0.1,0.5522267117475519,0.4654627539503386,0.5778163924869011,0.8853219614512471,0.025589680739349197,0.8853219614512471
2,ctgan,0.1,0.6000220530713538,0.5001084363478638,0.6007340496930021,0.9186044263038547,0.0007119966216483364,0.9186044263038547
2,tabddpm,0.05,0.6051643635889506,0.5083495987855129,0.6007340496930021,0.9186044263038547,-0.004430313895948501,0.9186044263038547
2,smote,0.1,0.5962484854029583,0.4979397093905877,0.6007340496930021,0.9186044263038547,0.004485564290043875,0.9186044263038547
2,ctgan_recency03,0.2,0.5973198495472114,0.4959878551290392,0.6007340496930021,0.9186044263038547,0.0034142001457907467,0.9186044263038547
2,tabddpm_recency03,0.05,0.5991658368872964,0.5033615267837779,0.6007340496930021,0.9186044263038547,0.0015682128057057376,0.9186044263038547
2,smote_recency03,0.05,0.5928265050877306,0.5042290175666884,0.6007340496930021,0.9186044263038547,0.007907544605271544,0.9186044263038547
3,ctgan,0.05,0.5415310008204806,0.4571850393700787,0.5336896271880447,0.8849645102040816,-0.007841373632435866,0.8849645102040816
3,tabddpm,0.05,0.5373635210210976,0.4458661417322834,0.5336896271880447,0.8849645102040816,-0.0036738938330529436,0.8849645102040816
3,smote,0.05,0.5414702431458217,0.4601377952755905,0.5336896271880447,0.8849645102040816,-0.007780615957777015,0.8849645102040816
3,ctgan_recency03,0.1,0.5427460313678482,0.4557086614173228,0.5336896271880447,0.8849645102040816,-0.009056404179803468,0.8849645102040816
3,tabddpm_recency03,0.05,0.5368114173373947,0.4490649606299212,0.5336896271880447,0.8849645102040816,-0.00312179014934999,0.8849645102040816
3,smote_recency03,0.05,0.5433660523028017,0.468503937007874,0.5336896271880447,0.8849645102040816,-0.00967642511475697,0.8849645102040816
