fold,method,target_pos_rate,pr_auc,recall_1fpr
0,baseline,,0.5434769390312724,0.4575232459847844
0,ctgan,0.1,0.5551736213728059,0.4611158072696534
0,tabddpm,0.1,0.5544291462748854,0.4687235841081995
0,smote,0.05,0.5531311584488352,0.4647083685545224
0,ctgan_recency03,0.1,0.5556667059240805,0.4727387996618766
0,tabddpm_recency03,0.2,0.5570719080102438,0.463229078613694
0,smote_recency03,0.2,0.5178556742696802,0.4401944209636517
1,baseline,,0.5778163924869011,0.4785553047404063
1,ctgan,0.05,0.5848569123386618,0.4923250564334085
1,tabddpm,0.1,0.5618305152117138,0.4641083521444695
1,smote,0.05,0.5755926017848177,0.4808126410835214
1,ctgan_recency03,0.2,0.5815527268883847,0.4864559819413092
1,tabddpm_recency03,0.05,0.5641108793776951,0.4670428893905192
1,smote_recency03,0.1,0.5522267117475519,0.4654627539503386
2,baseline,,0.6007340496930021,0.5046627629581436
2,ctgan,0.1,0.6000220530713538,0.5001084363478638
2,tabddpm,0.05,0.6051643635889506,0.5083495987855129
2,smote,0.1,0.5962484854029583,0.4979397093905877
2,ctgan_recency03,0.2,0.5973198495472114,0.4959878551290392
2,tabddpm_recency03,0.05,0.5991658368872964,0.5033615267837779
2,smote_recency03,0.05,0.5928265050877306,0.5042290175666884
3,baseline,,0.5336896271880447,0.4453740157480315
3,ctgan,0.05,0.5415310008204806,0.4571850393700787
3,tabddpm,0.05,0.5373635210210976,0.4458661417322834
3,smote,0.05,0.5414702431458217,0.4601377952755905
3,ctgan_recency03,0.1,0.5427460313678482,0.4557086614173228
3,tabddpm_recency03,0.05,0.5368114173373947,0.4490649606299212
3,smote_recency03,0.05,0.5433660523028017,0.468503937007874
