preprocess_variant,fold,method,config_name,target_pos_rate,max_synth,num_quantile_l1,num_wasserstein_norm,cat_tv_distance,cat_js_divergence,corr_mad,real_vs_synth_auc,rare_cat_coverage,schema_validity_rate,n_real,n_synth,forbidden_token_count
default,0,ctgan,ctgan_e7_p1_b512,0.05,5000,12944.116128450625,16942923.794708632,0.07869092335590501,0.008401731660448776,0.2758752046381415,1.0,1.0,0.0,5835,4526,
default,0,ctgan,ctgan_e7_p1_b512,0.1,5000,11956.26569779386,17760979.356104713,0.07904301628106256,0.00785177726886109,0.27612622856214936,1.0,1.0,0.0,5835,5000,
default,0,ctgan,ctgan_e15_p1_b512,0.05,5000,2455.5119189175034,11856293.487107048,0.062460481021583,0.0054262378573804535,0.2765047632420418,1.0,1.0,0.0,5835,4526,
default,0,ctgan,ctgan_e15_p1_b512,0.1,5000,4053.9907228448205,7072903.305599432,0.06851189031705227,0.005858310319839786,0.27655724672012044,0.9999999999999999,1.0,0.0,5835,5000,
default,0,tabddpm,tabddpm_t75_e4_h768,0.05,5000,18824319.07044344,119989841624.66367,0.3553631524759734,0.11376865667441924,0.27495370160276017,1.0,1.0,0.0,5835,4526,0.0
default,0,tabddpm,tabddpm_t75_e4_h768,0.1,5000,18835782.36291878,120077194424.10226,0.3556400274207369,0.11403696271033073,0.2746776244839325,1.0,1.0,0.0,5835,5000,0.0
default,0,tabddpm,tabddpm_t100_e8_h768,0.05,5000,21600334.243723728,132792320386.97502,0.34990063693688683,0.11384807540253669,0.2749974271466935,1.0,1.0,0.0,5835,4526,0.0
default,0,tabddpm,tabddpm_t100_e8_h768,0.1,5000,21552145.61176671,133020799424.75159,0.34946291002570695,0.11373308544810375,0.2750141778254651,1.0,1.0,0.0,5835,5000,0.0
default,1,ctgan,ctgan_e7_p1_b512,0.05,5000,7095.331033755047,10725008.655659141,0.13145082768777613,0.014941528761924484,0.28630828806484354,1.0,1.0,0.0,13580,5000,
default,1,ctgan,ctgan_e7_p1_b512,0.1,5000,17045.66285885459,6679767.05371449,0.10421777908689249,0.010538472236899965,0.28504290186861936,1.0,1.0,0.0,13580,5000,
default,1,ctgan,ctgan_e15_p1_b512,0.05,5000,12249.389265683983,7039936.691968233,0.050114921944035336,0.004155967351841917,0.2563505126414185,1.0,1.0,0.0,13580,5000,
default,1,ctgan,ctgan_e15_p1_b512,0.1,5000,9018.741541621494,6399299.698154393,0.057806880706921956,0.00459032056614544,0.26518124459130543,0.9999999999999999,1.0,0.0,13580,5000,
default,1,tabddpm,tabddpm_t75_e4_h768,0.05,5000,34051815.8308462,81519536289.8127,0.3422306568483063,0.0967054292529894,0.2844039143532392,1.0,1.0,0.0,13580,5000,0.0
default,1,tabddpm,tabddpm_t75_e4_h768,0.1,5000,34051815.8308462,81519536289.8127,0.3422306568483063,0.0967054292529894,0.2844039143532392,1.0,1.0,0.0,13580,5000,0.0
default,1,tabddpm,tabddpm_t100_e8_h768,0.05,5000,16546746.858643897,42274739187.89805,0.29924881296023564,0.08031961382388551,0.2775222837266205,1.0,1.0,0.0,13580,5000,0.0
default,1,tabddpm,tabddpm_t100_e8_h768,0.1,5000,16546746.858643897,42274739187.89805,0.29924881296023564,0.08031961382388551,0.2775222837266205,1.0,1.0,0.0,13580,5000,0.0
