method,preprocess_variant,config_name,target_pos_rate,max_synth,num_quantile_l1,num_wasserstein_norm,cat_tv_distance,cat_js_divergence,corr_mad,real_vs_synth_auc,rare_cat_coverage,schema_validity_rate,n_real,n_synth,rank_score
ctgan,default,ctgan_e15_p1_b512,0.1,5000,6536.366132233157,6736101.501876913,0.0631593855119871,0.005224315442992613,0.2708692456557129,0.9999999999999999,1.0,0.0,9707.5,5000.0,5388884.4127274165
ctgan,less_hashing,ctgan_e15_p1_b512,0.05,5000,8513.577846983226,6750306.0492901765,0.06237664407731315,0.0054051772309042685,0.2763985915894192,1.0,1.0,0.0,9707.5,4763.0,5400248.052483411
ctgan,less_hashing,ctgan_e15_p1_b512,0.1,5000,3065.092230718219,8777524.545918368,0.06416207516724656,0.005884330070196951,0.27287331196885223,1.0,1.0,0.0,9707.5,5000.0,7022022.85016584
ctgan,default,ctgan_e15_p1_b512,0.05,5000,7352.450592300744,9448115.089537641,0.05628770148280916,0.004791102604611185,0.2664276379417302,1.0,1.0,0.0,9707.5,4763.0,7558495.2723891735
ctgan,less_hashing,ctgan_e7_p1_b512,0.05,5000,3451.4235727939977,9964884.651361275,0.07033506758488317,0.00737930548787287,0.29089699984037065,1.0,1.0,0.0,9707.5,4763.0,7971910.950939602
ctgan,default,ctgan_e7_p1_b512,0.1,5000,14500.964278324225,12220373.2049096,0.09163039768397752,0.009195124752880528,0.28058456521538433,1.0,1.0,0.0,9707.5,5000.0,9776301.81417644
ctgan,default,ctgan_e7_p1_b512,0.05,5000,10019.723581102837,13833966.225183886,0.10507087552184058,0.01167163021118663,0.28109174635149253,1.0,1.0,0.0,9707.5,4763.0,11067176.246778032
ctgan,less_hashing,ctgan_e7_p1_b512,0.1,5000,2444.864108101304,15290151.137239896,0.08093198972227164,0.009003343478867842,0.2913873721011446,1.0,1.0,0.0,9707.5,5000.0,12232124.15260399
tabddpm,less_hashing,tabddpm_t100_e8_h768,0.05,5000,15091411.21663582,86584417114.86691,0.36172310176883615,0.10782948299128292,0.2859635836364227,1.0,1.0,0.0,9707.5,4763.0,69267533695.47058
tabddpm,less_hashing,tabddpm_t100_e8_h768,0.1,5000,15081651.696922092,86927446427.15208,0.36214081630705974,0.10808693364489516,0.2859700502897377,1.0,1.0,0.0,9707.5,5000.0,69541957145.29922
tabddpm,default,tabddpm_t100_e8_h768,0.05,5000,19073540.551183812,87533529787.43654,0.3245747249485612,0.0970838446132111,0.276259855436657,1.0,1.0,0.0,9707.5,4763.0,70026823833.47685
tabddpm,default,tabddpm_t100_e8_h768,0.1,5000,19049446.235205304,87647769306.32481,0.3243558614929713,0.09702634963599463,0.2762682307760428,1.0,1.0,0.0,9707.5,5000.0,70118215448.58722
tabddpm,less_hashing,tabddpm_t75_e4_h768,0.1,5000,20522334.997684654,95055262863.70013,0.36738613213392846,0.11138304604428909,0.2888030687187748,1.0,1.0,0.0,9707.5,5000.0,76044210294.54536
tabddpm,less_hashing,tabddpm_t75_e4_h768,0.05,5000,20525917.31245953,95314152116.89964,0.3673849796814318,0.11141349162332201,0.288783023044071,1.0,1.0,0.0,9707.5,4763.0,76251321697.10497
tabddpm,default,tabddpm_t75_e4_h768,0.05,5000,26438067.45064482,100754688957.23819,0.34879690466213986,0.10523704296370431,0.2796788079779997,1.0,1.0,0.0,9707.5,4763.0,80603751169.34897
tabddpm,default,tabddpm_t75_e4_h768,0.1,5000,26443799.09688249,100798365356.95749,0.3489353421345216,0.10537119598166006,0.27954076941858585,1.0,1.0,0.0,9707.5,5000.0,80638692289.12448
