method,fold,mean_dcr,median_dcr,mean_nndr,median_nndr,n_synthetic,n_after_filter
ctgan,3,26586.138041323713,2697.869497254964,3.586573341260614,2.7196551673038645,5151,2818
ctgan,3,16622.231101861722,2580.5120128308636,3.6515999273977098,2.806553163414395,20500,11685
ctgan,3,32407.100849821578,2726.8760397814162,3.4744606277687966,2.6185080799004554,50000,27081
tabddpm,3,9256192717.097048,7792220447.832281,1.0000010934285308,1.0000001811508388,5151,0
tabddpm,3,9285260376.388231,7839749443.14826,1.0000010635254142,1.0000001794686921,20500,0
tabddpm,3,9284321189.728933,7801125673.234575,1.0000010499485519,1.0000001801492486,50000,0
ctgan,4,14750.664735810835,2516.4536230120557,3.6392342301848704,2.853178802469106,6182,3642
ctgan,4,7082.708694250257,2476.89030233828,3.750031239983716,2.913380239101018,25368,15292
ctgan,4,14799.470213641996,2499.3692877391013,3.6687797946251375,2.8147516547463294,50000,29547
tabddpm,4,4735921212.650444,3919266448.526763,1.0000022519107128,1.000000288561159,6182,0
tabddpm,4,4757240988.302917,3913346556.314657,1.0000023072233086,1.0000002705999484,25368,0
tabddpm,4,4778592180.226893,3939233133.126012,1.0000022940752187,1.0000002684121476,50000,0
ctgan,5,7826.7744012204585,2347.13398912176,3.7363204436041673,2.9111243127285253,7141,4528
ctgan,5,10521.751762341662,2409.107250840537,3.78779316878349,2.9702191861319562,30164,18593
ctgan,5,8353.976431670739,2371.7347832367022,3.806650975804772,2.996579293300961,50000,31295
tabddpm,5,4223354829.514406,3290287749.4710736,1.0000036712398488,1.0000005477826617,7141,0
tabddpm,5,4212127758.5216556,3271276509.550975,1.0000036092703186,1.000000539734732,30164,0
tabddpm,5,4219091649.48395,3285707893.48849,1.000003412481403,1.0000005386221231,50000,0
ctgan,6,11635.500087554577,2401.144153543004,3.8268135428135963,3.015347101407284,7985,4932
ctgan,6,8859.252822844526,2341.7129933371557,3.8045920939697537,2.988815373868818,34845,22191
ctgan,6,7498.225870145399,2314.1623561335823,3.752555705141598,2.9587617963290955,50000,32082
tabddpm,6,3377766306.773043,2319356008.3251104,1.000017232448655,1.0000035532169798,7985,0
tabddpm,6,3348962064.8793926,2316001328.23366,1.000017822619972,1.0000036134705057,34845,0
tabddpm,6,3362865513.5470285,2325308903.3145742,1.0000181431219177,1.0000035976594512,50000,0
ctgan,7,7421.357709247243,2345.9400510096934,3.7977059416643164,3.025456776771204,9352,6040
ctgan,7,11876.996522700958,2368.976760254309,3.7956949864572573,2.981700017019445,40049,25604
ctgan,7,8096.722600126851,2368.8645923708905,3.7437232930725077,2.9556343986924976,50000,32167
tabddpm,7,2897722530.4748216,2022083266.6313753,1.0000073084628953,1.0000011378372222,9352,0
tabddpm,7,2907546279.0080895,2015752816.4270234,1.0000064984187238,1.0000011408053242,40049,0
tabddpm,7,2905846468.67236,2008761625.6929498,1.0000066193249393,1.0000011439443375,50000,0
