record_type,fold,cluster_id,global_row_idx,method,target_pos_rate,pr_auc,n_pos_in_slice,n_neg_in_slice,dcr_mean,dcr_median,n_synthetic,notes
fraud_cluster_assignment,,-1,203.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,3,240.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,3,243.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,3,245.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,3,288.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,0,367.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,3,405.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,630.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,683.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,736.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,0,779.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,0,780.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,0,781.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,869.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,923.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1062.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1064.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1069.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1081.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,1,1097.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1169.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1173.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1186.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1195.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,1235.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,1,1250.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1261.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1269.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1274.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1282.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,1355.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1612.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,1643.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1680.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,1694.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1702.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1704.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1706.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,1,1732.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1966.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,1992.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,2000.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,2007.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,-1,2041.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,2059.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,1,2080.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,0,2116.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
fraud_cluster_assignment,,2,2302.0,,,,,,,,,hdbscan on full-data preprocessed fraud (-1=noise if hdbscan)
