record_type,fold,cluster_id,global_row_idx,method,target_pos_rate,pr_auc,n_pos_in_slice,n_neg_in_slice,dcr_mean,dcr_median,n_synthetic,notes
fraud_cluster_assignment,,3,203.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,240.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,243.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,245.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,288.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,0,367.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,405.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,630.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,683.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,736.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,0,779.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,0,780.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,0,781.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,869.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,923.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,1062.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,1064.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,1,1069.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,4,1081.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,4,1097.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,1169.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,4,1173.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,1186.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,1195.0,,,,,,,,,KMeans on full-data preprocessed fraud
fraud_cluster_assignment,,3,1235.0,,,,,,,,,KMeans on full-data preprocessed fraud
