method,fold,mean_dcr,median_dcr,mean_nndr,median_nndr,n_synthetic,n_after_filter
smote_tabddpm,0,869792344.1411947,598032720.3994782,1.0000228615463431,1.0000045029745401,5647,0
smote_tabddpm,0,871259898.5052271,603945967.48203,1.0000251644525004,1.0000044212204153,22914,0
smote_tabddpm,0,874069311.3178358,608494079.8480064,1.0000265383431424,1.0000043687165503,50000,0
smote_tabddpm,1,1710875716.809026,1385635855.5526106,1.0000047847960307,1.0000008233562894,3647,0
smote_tabddpm,1,1710981560.2256336,1402140307.1267698,1.0000045628288976,1.0000007773724127,11322,0
smote_tabddpm,1,1718497015.101611,1401764356.0478663,1.0000049109259572,1.0000008037974357,29548,0
smote_tabddpm,2,940680808.5221156,705752008.9302981,1.0000122427178382,1.0000019648700804,4526,0
smote_tabddpm,2,934762898.2061887,703807261.0451757,1.0000123412848794,1.0000020318936245,16037,0
smote_tabddpm,2,936150586.7793976,700944594.2486682,1.0000117678946367,1.0000019795316675,43377,0
smote_tabddpm,3,906642248.9564613,726658749.3274534,1.0000144224219505,1.0000029948214324,5151,0
smote_tabddpm,3,926441460.4223988,730509928.6462741,1.0000141290534852,1.0000029892909843,20500,0
smote_tabddpm,3,923820338.9601792,723998075.0126257,1.0000141239689557,1.0000029256777254,50000,0
smote_tabddpm,4,1180288803.9872572,863520237.0108192,1.0000117015846488,1.0000003527073371,6182,0
smote_tabddpm,4,1180457765.3740184,866125463.6256086,1.0000106980485743,1.0000003531490107,25368,0
smote_tabddpm,4,1179526346.7752414,862643291.4874806,1.0000110309240426,1.0000003600469807,50000,0
smote_tabddpm,5,1898496522.867293,1494121569.2879112,1.000007942130345,1.0000014096644418,7141,0
smote_tabddpm,5,1901587055.7913759,1489179668.854405,1.0000087165274354,1.0000014219351434,30164,0
smote_tabddpm,5,1899950825.1881368,1487732278.4247746,1.0000091738039039,1.0000014202375356,50000,0
smote_tabddpm,6,2287700952.605446,1800373511.1045015,1.0000238410306506,1.00000498997409,7985,0
smote_tabddpm,6,2286212184.851522,1789287092.9683216,1.0000255387106236,1.0000050425212792,34845,0
smote_tabddpm,6,2294712432.28285,1802626794.7280693,1.0000255788283043,1.000005025754621,50000,0
smote_tabddpm,7,3042245711.3024197,2471442347.046467,1.000005531676196,1.0000008773404048,9352,0
smote_tabddpm,7,3039027262.650944,2467808201.0361376,1.0000056382203688,1.0000008734435086,40049,0
smote_tabddpm,7,3043525431.483287,2476231037.840953,1.0000055151810774,1.0000008742729045,50000,0
