classifier,fold,n_synth,baseline_pr,ctgan_pr,delta
xgboost,0,1715,0.472959,0.484173,0.011214
logreg,0,1715,0.110896,0.100427,-0.010469
xgboost,1,3647,0.546734,0.562622,0.015887
logreg,1,3647,0.207854,0.187142,-0.020712
xgboost,2,4526,0.54695,0.558661,0.011711
logreg,2,4526,0.215141,0.177918,-0.037224
xgboost,3,5151,0.554608,0.558816,0.004208
logreg,3,5151,0.185507,0.168369,-0.017138
xgboost,4,6182,0.504036,0.518,0.013964
logreg,4,6182,0.217646,0.167672,-0.049975
xgboost,5,7141,0.578876,0.593236,0.014359
logreg,5,7141,0.317851,0.239844,-0.078007
xgboost,6,7985,0.498033,0.497994,-3.8e-05
logreg,6,7985,0.209215,0.199999,-0.009216
