n_folds,fold,n_fraud_train,n_fraud_val,n_synth,baseline_pr,ctgan_pr,delta,wilcoxon_p
12,0,1280,1085,1111,0.520225,0.527827,0.007603,0.284668
12,1,2365,1146,2417,0.516121,0.523432,0.007311,0.284668
12,2,3511,1699,3662,0.627989,0.619856,-0.008133,0.284668
12,3,5210,1902,4354,0.607154,0.607786,0.000632,0.284668
12,4,7112,1966,4843,0.688637,0.695842,0.007205,0.284668
12,5,9078,1728,5268,0.59894,0.596529,-0.002411,0.284668
12,6,10806,1467,5930,0.537767,0.535076,-0.002691,0.284668
12,7,12273,2079,6854,0.642026,0.638501,-0.003525,0.284668
12,8,14352,1672,7166,0.637493,0.640894,0.0034,0.284668
12,9,16024,1480,7885,0.543111,0.549439,0.006328,0.284668
12,10,17504,1401,8796,0.588927,0.585333,-0.003594,0.284668
12,11,18905,1758,9786,0.596187,0.598836,0.002649,0.284668
15,0,1056,932,887,0.500055,0.499132,-0.000923,0.44519
15,1,1988,733,1898,0.5566,0.567459,0.010859,0.44519
15,2,2721,1167,3107,0.571795,0.581426,0.009631,0.44519
15,3,3888,1441,3883,0.634115,0.629148,-0.004967,0.44519
15,4,5329,1573,4384,0.626557,0.6098,-0.016757,0.44519
15,5,6902,1600,4754,0.698084,0.703198,0.005115,0.44519
15,6,8502,1392,5096,0.648954,0.647526,-0.001428,0.44519
15,7,9894,1321,5647,0.561271,0.559769,-0.001502,0.44519
15,8,11215,1294,6269,0.561828,0.557332,-0.004496,0.44519
15,9,12509,1707,6917,0.648083,0.64573,-0.002354,0.44519
15,10,14216,1347,7153,0.646582,0.64473,-0.001852,0.44519
15,11,15563,1337,7748,0.571609,0.590422,0.018813,0.44519
15,12,16900,1129,8354,0.590661,0.580731,-0.00993,0.44519
15,13,18029,1195,9167,0.529472,0.537403,0.007932,0.44519
15,14,19224,1439,9915,0.615091,0.617041,0.00195,0.44519
