fold,n_fraud_val,n_synth,baseline_pr,ctgan_pr,delta,n_folds
0,1085,1043,0.49464,0.489719,-0.004922,12
1,1146,2292,0.449914,0.473236,0.023323,12
2,1699,3476,0.573127,0.569534,-0.003593,12
3,1902,4079,0.540545,0.535933,-0.004612,12
4,1966,4467,0.607052,0.620999,0.013947,12
5,1728,4789,0.563084,0.562959,-0.000125,12
6,1467,5361,0.474069,0.479627,0.005558,12
7,2079,6207,0.592895,0.596326,0.003431,12
8,1672,6410,0.569129,0.577113,0.007984,12
9,1480,7041,0.485391,0.478663,-0.006728,12
10,1401,7874,0.509272,0.52102,0.011748,12
11,1758,8790,0.55535,0.553955,-0.001395,12
0,932,830,0.397968,0.446694,0.048726,15
1,733,1792,0.491972,0.477651,-0.01432,15
2,1167,2963,0.516886,0.533756,0.01687,15
3,1441,3677,0.57878,0.584298,0.005518,15
4,1573,4103,0.554422,0.557799,0.003377,15
5,1600,4390,0.629468,0.642016,0.012548,15
6,1392,4648,0.601837,0.59989,-0.001947,15
7,1321,5125,0.527377,0.515029,-0.012348,15
8,1294,5677,0.496294,0.504201,0.007907,15
9,1707,6258,0.60691,0.61417,0.00726,15
