fold,cluster_id,n_real_fraud_in_cluster,pct_real_fraud,n_synth_routed,pct_synth_routed,mean_dcr,median_dcr,delta_pr_auc_fold
0,-1,8231,39.8,434,26.8,4.4,4.0,0.0046
0,0,3091,15.0,0,0.0,,,0.0046
0,1,2497,12.1,1175,72.4,3.9,3.6,0.0046
0,2,1657,8.0,0,0.0,,,0.0046
0,3,5187,25.1,13,0.8,7.3,7.2,0.0046
1,-1,8231,39.8,1169,33.6,6.2,5.5,0.0061
1,0,3091,15.0,0,0.0,,,0.0061
1,1,2497,12.1,2256,64.9,4.3,4.0,0.0061
1,2,1657,8.0,0,0.0,,,0.0061
1,3,5187,25.1,50,1.4,7.8,7.2,0.0061
2,-1,8231,39.8,1515,35.9,7.0,5.8,0.0046
2,0,3091,15.0,0,0.0,,,0.0046
2,1,2497,12.1,2659,63.0,4.7,4.5,0.0046
2,2,1657,8.0,0,0.0,,,0.0046
2,3,5187,25.1,44,1.0,8.1,7.9,0.0046
3,-1,8231,39.8,2197,46.8,6.0,5.4,-0.0033
3,0,3091,15.0,0,0.0,,,-0.0033
3,1,2497,12.1,2336,49.8,4.1,3.8,-0.0033
3,2,1657,8.0,0,0.0,,,-0.0033
3,3,5187,25.1,161,3.4,7.6,7.4,-0.0033
4,-1,8231,39.8,1997,35.7,5.5,4.4,0.0013
4,0,3091,15.0,0,0.0,,,0.0013
4,1,2497,12.1,3315,59.2,4.1,3.7,0.0013
4,2,1657,8.0,0,0.0,,,0.0013
4,3,5187,25.1,285,5.1,7.2,7.1,0.0013
5,-1,8231,39.8,2731,42.5,5.1,4.6,0.0061
5,0,3091,15.0,0,0.0,,,0.0061
5,1,2497,12.1,3077,47.9,3.8,3.6,0.0061
5,2,1657,8.0,0,0.0,,,0.0061
5,3,5187,25.1,617,9.6,6.7,6.6,0.0061
6,-1,8231,39.8,3392,47.6,5.3,4.7,-0.0076
6,0,3091,15.0,5,0.1,8.5,8.4,-0.0076
6,1,2497,12.1,2989,41.9,3.9,3.4,-0.0076
6,2,1657,8.0,0,0.0,,,-0.0076
6,3,5187,25.1,746,10.5,6.8,6.7,-0.0076
7,-1,8231,39.8,3589,42.8,5.6,4.7,-0.0025
7,0,3091,15.0,0,0.0,,,-0.0025
7,1,2497,12.1,3496,41.7,3.6,3.3,-0.0025
7,2,1657,8.0,0,0.0,,,-0.0025
7,3,5187,25.1,1304,15.5,6.6,6.4,-0.0025
